simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk,distance_increase,safety_improved
787,海天堂构,平路C,240,0,False,240,0,False,0,False
788,协和礼拜堂,轮渡码头入口,100,500,True,150,0,False,50,True
789,平路C,协和礼拜堂,40,0,False,40,0,False,0,False
790,许家园,福建路路口,30,0,False,30,0,False,0,False
791,福建路路口,轮渡码头入口,220,500,True,270,0,False,50,True
792,轮渡码头入口,海天堂构,300,510,True,350,0,False,50,True
793,黄荣远堂,音乐厅,100,0,False,100,0,False,0,False
794,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
795,天主堂,陡坡B,100,0,False,100,0,False,0,False
796,黄荣远堂,轮渡码头入口,280,500,True,330,0,False,50,True
797,音乐厅,协和礼拜堂,280,0,False,280,0,False,0,False
798,轮渡码头入口,许家园,250,500,True,300,0,False,50,True
799,协和礼拜堂,三岔路口A,50,500,True,100,0,False,50,True
800,音乐厅,陡坡B,300,0,False,300,0,False,0,False
801,陡坡B,海天堂构,220,10,False,220,0,False,0,True
802,三岔路口A,陡坡B,30,500,True,120,0,False,90,True
803,天主堂,音乐厅,200,0,False,200,0,False,0,False
804,陡坡B,黄荣远堂,200,0,False,200,0,False,0,False
805,黄荣远堂,轮渡码头入口,280,500,True,330,0,False,50,True
806,三岔路口A,福建路路口,170,500,True,220,0,False,50,True
807,平路C,轮渡码头入口,110,0,False,110,0,False,0,False
808,三岔路口A,音乐厅,330,500,True,380,0,False,50,True
809,平路C,黄荣远堂,220,0,False,220,0,False,0,False
810,黄荣远堂,福建路路口,60,0,False,60,0,False,0,False
811,三岔路口A,黄荣远堂,230,500,True,280,0,False,50,True
812,平路C,许家园,190,0,False,190,0,False,0,False
813,海天堂构,平路C,240,0,False,240,0,False,0,False
814,三岔路口A,黄荣远堂,230,500,True,280,0,False,50,True
815,轮渡码头入口,音乐厅,380,500,True,430,0,False,50,True
816,许家园,三岔路口A,200,500,True,250,0,False,50,True
817,海天堂构,协和礼拜堂,200,0,False,200,0,False,0,False
818,福建路路口,陡坡B,140,0,False,140,0,False,0,False
819,音乐厅,三岔路口A,330,500,True,380,0,False,50,True
820,协和礼拜堂,三岔路口A,50,500,True,100,0,False,50,True
821,黄荣远堂,平路C,220,0,False,220,0,False,0,False
822,协和礼拜堂,音乐厅,280,0,False,280,0,False,0,False
823,协和礼拜堂,陡坡B,20,0,False,20,0,False,0,False
824,平路C,音乐厅,320,0,False,320,0,False,0,False
825,陡坡B,黄荣远堂,200,0,False,200,0,False,0,False
826,许家园,黄荣远堂,70,10,False,70,10,False,0,False
827,天主堂,陡坡B,100,0,False,100,0,False,0,False
828,三岔路口A,天主堂,130,500,True,180,0,False,50,True
829,福建路路口,许家园,30,0,False,30,0,False,0,False
830,黄荣远堂,轮渡码头入口,280,500,True,330,0,False,50,True
831,轮渡码头入口,许家园,250,500,True,300,0,False,50,True
832,海天堂构,陡坡B,220,0,False,220,0,False,0,False
833,海天堂构,协和礼拜堂,200,0,False,200,0,False,0,False
834,协和礼拜堂,天主堂,80,0,False,80,0,False,0,False
835,陡坡B,黄荣远堂,200,0,False,200,0,False,0,False
836,平路C,音乐厅,320,0,False,320,0,False,0,False
837,陡坡B,黄荣远堂,200,0,False,200,0,False,0,False
838,天主堂,福建路路口,40,0,False,40,0,False,0,False
839,陡坡B,协和礼拜堂,20,0,False,20,0,False,0,False
840,黄荣远堂,天主堂,100,0,False,100,0,False,0,False
841,陡坡B,平路C,60,0,False,60,0,False,0,False
842,三岔路口A,福建路路口,170,500,True,220,0,False,50,True
843,天主堂,陡坡B,100,0,False,100,0,False,0,False
844,轮渡码头入口,音乐厅,380,500,True,430,0,False,50,True
845,三岔路口A,轮渡码头入口,50,0,False,50,0,False,0,False
846,协和礼拜堂,福建路路口,120,0,False,120,0,False,0,False
847,陡坡B,轮渡码头入口,80,500,True,170,0,False,90,True
848,协和礼拜堂,许家园,150,0,False,150,0,False,0,False
849,海天堂构,许家园,50,10,False,50,10,False,0,False
850,协和礼拜堂,音乐厅,280,0,False,280,0,False,0,False
851,许家园,陡坡B,170,0,False,170,0,False,0,False
852,福建路路口,陡坡B,140,0,False,140,0,False,0,False
853,平路C,海天堂构,240,10,False,240,0,False,0,True
854,平路C,许家园,190,0,False,190,0,False,0,False
855,音乐厅,轮渡码头入口,380,500,True,430,0,False,50,True
856,陡坡B,黄荣远堂,200,0,False,200,0,False,0,False
857,海天堂构,陡坡B,220,0,False,220,0,False,0,False
858,平路C,轮渡码头入口,110,0,False,110,0,False,0,False
859,福建路路口,轮渡码头入口,220,500,True,270,0,False,50,True
860,三岔路口A,许家园,200,500,True,250,0,False,50,True
861,轮渡码头入口,陡坡B,80,500,True,170,0,False,90,True
862,音乐厅,协和礼拜堂,280,0,False,280,0,False,0,False
863,福建路路口,黄荣远堂,60,0,False,60,0,False,0,False
864,音乐厅,三岔路口A,330,500,True,380,0,False,50,True
865,福建路路口,许家园,30,0,False,30,0,False,0,False
866,音乐厅,三岔路口A,330,500,True,380,0,False,50,True
867,陡坡B,许家园,170,0,False,170,0,False,0,False
868,平路C,三岔路口A,60,0,False,60,0,False,0,False
869,协和礼拜堂,海天堂构,200,10,False,200,0,False,0,True
870,福建路路口,音乐厅,160,0,False,160,0,False,0,False
871,三岔路口A,协和礼拜堂,50,500,True,100,0,False,50,True
872,协和礼拜堂,平路C,40,0,False,40,0,False,0,False
873,陡坡B,音乐厅,300,0,False,300,0,False,0,False
874,黄荣远堂,陡坡B,200,0,False,200,0,False,0,False
875,黄荣远堂,许家园,70,10,False,70,10,False,0,False
876,音乐厅,协和礼拜堂,280,0,False,280,0,False,0,False
877,协和礼拜堂,三岔路口A,50,500,True,100,0,False,50,True
878,福建路路口,协和礼拜堂,120,0,False,120,0,False,0,False
879,海天堂构,许家园,50,10,False,50,10,False,0,False
